algorithm,n,distribution,elapsed_ns,elapsed_ms,comparisons,array_accesses,swaps,memory_bytes
BoyerMoore,100,random,18083,0,018,150,200,0,62928
BoyerMoore,100,majority,17667,0,018,187,200,0,0
BoyerMoore,100,sorted,15709,0,016,150,200,0,0
BoyerMoore,100,reversed,15708,0,016,150,200,0,0
BoyerMoore,100,nearly-sorted,34708,0,035,150,200,0,0
BoyerMoore,100,all-equal,17292,0,017,199,200,0,0
BoyerMoore,100,all-negative,15875,0,016,150,200,0,62928
BoyerMoore,1000,random,137500,0,138,1500,2000,0,62928
BoyerMoore,1000,majority,203959,0,204,1993,2000,0,0
BoyerMoore,1000,sorted,179125,0,179,1500,2000,0,62928
BoyerMoore,1000,reversed,205292,0,205,1500,2000,0,0
BoyerMoore,1000,nearly-sorted,217333,0,217,1500,2000,0,62928
BoyerMoore,1000,all-equal,187042,0,187,1999,2000,0,0
BoyerMoore,1000,all-negative,143250,0,143,1500,2000,0,62928
BoyerMoore,10000,random,1168958,1,169,15002,20000,0,62928
BoyerMoore,10000,majority,277542,0,278,19992,20000,0,0
BoyerMoore,10000,sorted,20500,0,021,15000,20000,0,62928
BoyerMoore,10000,reversed,23958,0,024,15000,20000,0,0
BoyerMoore,10000,nearly-sorted,23458,0,023,15000,20000,0,62928
BoyerMoore,10000,all-equal,24959,0,025,19999,20000,0,0
BoyerMoore,10000,all-negative,21750,0,022,15003,20000,0,0
BoyerMoore,100000,random,132792,0,133,150021,200000,0,41952
BoyerMoore,100000,majority,493375,0,493,199957,200000,0,0
BoyerMoore,100000,sorted,130792,0,131,150000,200000,0,41952
BoyerMoore,100000,reversed,150875,0,151,150000,200000,0,0
BoyerMoore,100000,nearly-sorted,193958,0,194,150000,200000,0,41952
BoyerMoore,100000,all-equal,220041,0,220,199999,200000,0,0
BoyerMoore,100000,all-negative,185959,0,186,150046,200000,0,41952
